gene_identifier,gene_symbol,name,mapped_ncbi_identifier
ENSMUSG00000043631,Ecm2,"extracellular matrix protein 2, female organ and adipocyte specific",NCBIGene:407800
ENSMUSG00000032487,Ptgs2,prostaglandin-endoperoxide synthase 2,NCBIGene:19225
ENSMUSG00000027971,Ndst4,N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4,NCBIGene:64580
ENSMUSG00000024411,Aqp4,aquaporin 4,NCBIGene:11829
ENSMUSG00000030270,Cpne9,copine family member IX,NCBIGene:211232
ENSMUSG00000029683,Lmod2,leiomodin 2 (cardiac),NCBIGene:93677
ENSMUSG00000063632,Sox11,SRY (sex determining region Y)-box 11,NCBIGene:20666
ENSMUSG00000026344,Lypd1,Ly6/Plaur domain containing 1,NCBIGene:72585
ENSMUSG00000054667,Irs4,insulin receptor substrate 4,NCBIGene:16370
ENSMUSG00000024907,Gal,galanin and GMAP prepropeptide,NCBIGene:14419
ENSMUSG00000049511,Htr1b,5-hydroxytryptamine (serotonin) receptor 1B,NCBIGene:15551
ENSMUSG00000058488,Kl,klotho,NCBIGene:16591
ENSMUSG00000086126,Evx1os,"even skipped homeotic gene 1, opposite strand",NCBIGene:70593
ENSMUSG00000075224,Lrrc55,leucine rich repeat containing 55,NCBIGene:241528
ENSMUSG00000091243,Vgll3,vestigial like family member 3,NCBIGene:73569
ENSMUSG00000030551,Nr2f2,"nuclear receptor subfamily 2, group F, member 2",NCBIGene:11819
ENSMUSG00000022306,Zfpm2,"zinc finger protein, multitype 2",NCBIGene:22762
ENSMUSG00000031734,Irx3,Iroquois related homeobox 3,NCBIGene:16373
ENSMUSG00000030247,Kcnj8,"potassium inwardly-rectifying channel, subfamily J, member 8",NCBIGene:16523
ENSMUSG00000047712,Ust,uronyl-2-sulfotransferase,NCBIGene:338362
ENSMUSG00000046593,Tmem215,transmembrane protein 215,NCBIGene:320500
ENSMUSG00000023391,Dlx2,distal-less homeobox 2,NCBIGene:13392
ENSMUSG00000031189,Aff2,"AF4/FMR2 family, member 2",NCBIGene:14266
ENSMUSG00000097623,B230323A14Rik,RIKEN cDNA B230323A14 gene,
ENSMUSG00000055471,Alk,anaplastic lymphoma kinase,NCBIGene:11682
ENSMUSG00000069170,Adgrv1,adhesion G protein-coupled receptor V1,NCBIGene:110789
ENSMUSG00000027004,Frzb,frizzled-related protein,NCBIGene:20378
ENSMUSG00000021536,Adcy2,adenylate cyclase 2,NCBIGene:210044
ENSMUSG00000038115,Ano2,anoctamin 2,NCBIGene:243634
ENSMUSG00000091636,Akain1,A kinase (PRKA) anchor inhibitor 1,NCBIGene:320722
ENSMUSG00000042596,Tfap2d,"transcription factor AP-2, delta",NCBIGene:226896
ENSMUSG00000068696,Gpr88,G-protein coupled receptor 88,NCBIGene:64378
ENSMUSG00000041548,Hspb8,heat shock protein 8,NCBIGene:80888
ENSMUSG00000035594,Chrna5,"cholinergic receptor, nicotinic, alpha polypeptide 5",NCBIGene:110835
ENSMUSG00000030047,Arhgap25,Rho GTPase activating protein 25,NCBIGene:232201
ENSMUSG00000027217,Tspan18,tetraspanin 18,NCBIGene:241556
ENSMUSG00000036834,Plch1,"phospholipase C, eta 1",NCBIGene:269437
ENSMUSG00000015568,Lpl,lipoprotein lipase,NCBIGene:16956
ENSMUSG00000032360,Hcrtr2,hypocretin (orexin) receptor 2,NCBIGene:387285
ENSMUSG00000036907,C1ql2,"complement component 1, q subcomponent-like 2",NCBIGene:226359
ENSMUSG00000021464,Ror2,receptor tyrosine kinase-like orphan receptor 2,NCBIGene:26564
ENSMUSG00000071234,Syndig1l,synapse differentiation inducing 1 like,NCBIGene:627191
ENSMUSG00000030513,Pcsk6,proprotein convertase subtilisin/kexin type 6,NCBIGene:18553
ENSMUSG00000068122,Agtr2,"angiotensin II receptor, type 2",NCBIGene:11609
ENSMUSG00000027765,P2ry1,"purinergic receptor P2Y, G-protein coupled 1",NCBIGene:18441
ENSMUSG00000053153,Spag16,sperm associated antigen 16,NCBIGene:66722
ENSMUSG00000039728,Slc6a5,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5",NCBIGene:104245
ENSMUSG00000030088,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",NCBIGene:107747
ENSMUSG00000018604,Tbx3,T-box 3,NCBIGene:21386
ENSMUSG00000059173,Pde1a,"phosphodiesterase 1A, calmodulin-dependent",NCBIGene:18573
ENSMUSG00000060044,Tmem26,transmembrane protein 26,NCBIGene:327766
ENSMUSG00000029591,Ung,uracil DNA glycosylase,NCBIGene:22256
ENSMUSG00000036022,Fam122b,"family with sequence similarity 122, member B",NCBIGene:78755
ENSMUSG00000079105,C7,complement component 7,NCBIGene:109828
ENSMUSG00000021680,Crhbp,corticotropin releasing hormone binding protein,NCBIGene:12919
ENSMUSG00000028173,Wls,wntless WNT ligand secretion mediator,NCBIGene:68151
ENSMUSG00000045613,Chrm2,"cholinergic receptor, muscarinic 2, cardiac",NCBIGene:243764
ENSMUSG00000021743,Fezf2,Fez family zinc finger 2,NCBIGene:54713
ENSMUSG00000043557,Mdga1,MAM domain containing glycosylphosphatidylinositol anchor 1,NCBIGene:74762
ENSMUSG00000042045,Sln,sarcolipin,NCBIGene:66402
ENSMUSG00000028909,Ptpru,"protein tyrosine phosphatase, receptor type, U",NCBIGene:19273
ENSMUSG00000060429,Sntb1,"syntrophin, basic 1",NCBIGene:20649
ENSMUSG00000031492,Chrnb3,"cholinergic receptor, nicotinic, beta polypeptide 3",NCBIGene:108043
ENSMUSG00000079173,Zan,zonadhesin,NCBIGene:22635
ENSMUSG00000057604,Lmcd1,LIM and cysteine-rich domains 1,NCBIGene:30937
ENSMUSG00000017491,Rarb,"retinoic acid receptor, beta",NCBIGene:218772
ENSMUSG00000029334,Prkg2,"protein kinase, cGMP-dependent, type II",NCBIGene:19092
ENSMUSG00000056380,Gpr50,G-protein-coupled receptor 50,NCBIGene:14765
ENSMUSG00000036103,Colec12,collectin sub-family member 12,NCBIGene:140792
ENSMUSG00000045991,Onecut2,"one cut domain, family member 2",NCBIGene:225631
ENSMUSG00000020123,Avpr1a,arginine vasopressin receptor 1A,NCBIGene:54140
ENSMUSG00000039004,Bmp6,bone morphogenetic protein 6,NCBIGene:12161
ENSMUSG00000040373,Cacng5,"calcium channel, voltage-dependent, gamma subunit 5",NCBIGene:140723
ENSMUSG00000043850,Clrn1,clarin 1,NCBIGene:229320
ENSMUSG00000024565,Sall3,spalt like transcription factor 3,NCBIGene:20689
ENSMUSG00000041272,Tox,thymocyte selection-associated high mobility group box,NCBIGene:252838
ENSMUSG00000020963,Tshr,thyroid stimulating hormone receptor,NCBIGene:22095
ENSMUSG00000042353,Frem3,Fras1 related extracellular matrix protein 3,NCBIGene:333315
ENSMUSG00000028358,Zfp618,zinc finger protein 618,NCBIGene:72701
ENSMUSG00000045672,Col27a1,"collagen, type XXVII, alpha 1",NCBIGene:373864
ENSMUSG00000022665,Ccdc80,coiled-coil domain containing 80,NCBIGene:67896
ENSMUSG00000029338,Antxr2,anthrax toxin receptor 2,NCBIGene:71914
ENSMUSG00000027833,Shox2,short stature homeobox 2,NCBIGene:20429
ENSMUSG00000031212,Pgr15l,G protein-coupled receptor 15-like,NCBIGene:245526
ENSMUSG00000091345,Col6a5,"collagen, type VI, alpha 5",NCBIGene:665033
ENSMUSG00000032231,Anxa2,annexin A2,NCBIGene:12306
ENSMUSG00000028172,Tacr3,tachykinin receptor 3,NCBIGene:21338
ENSMUSG00000046922,Gpr6,G protein-coupled receptor 6,NCBIGene:140741
ENSMUSG00000034384,Barhl2,BarH like homeobox 2,NCBIGene:104382
ENSMUSG00000026751,Nr5a1,"nuclear receptor subfamily 5, group A, member 1",NCBIGene:26423
ENSMUSG00000027360,Hdc,histidine decarboxylase,NCBIGene:15186
ENSMUSG00000026355,Mcm6,minichromosome maintenance complex component 6,NCBIGene:17219
ENSMUSG00000023367,Tmem176a,transmembrane protein 176A,NCBIGene:66058
ENSMUSG00000055214,Pld5,"phospholipase D family, member 5",NCBIGene:319455
ENSMUSG00000034997,Htr2a,5-hydroxytryptamine (serotonin) receptor 2A,NCBIGene:15558
ENSMUSG00000098097,6530403H02Rik,RIKEN cDNA 6530403H02 gene,
ENSMUSG00000000861,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein),NCBIGene:14025
ENSMUSG00000002804,Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14,NCBIGene:66174
ENSMUSG00000075270,Pde11a,phosphodiesterase 11A,NCBIGene:241489
ENSMUSG00000054360,Bsx,brain specific homeobox,NCBIGene:244813
ENSMUSG00000019913,Sim1,single-minded family bHLH transcription factor 1,NCBIGene:20464
ENSMUSG00000026678,Rgs5,regulator of G-protein signaling 5,NCBIGene:19737
ENSMUSG00000059857,Ntng1,netrin G1,NCBIGene:80883
ENSMUSG00000053965,Pde5a,"phosphodiesterase 5A, cGMP-specific",NCBIGene:242202
ENSMUSG00000074637,Sox2,SRY (sex determining region Y)-box 2,NCBIGene:20674
ENSMUSG00000048583,Igf2,insulin-like growth factor 2,NCBIGene:16002
ENSMUSG00000029151,Slc30a3,"solute carrier family 30 (zinc transporter), member 3",NCBIGene:22784
ENSMUSG00000046178,Nxph1,neurexophilin 1,NCBIGene:18231
ENSMUSG00000051279,Gdf6,growth differentiation factor 6,NCBIGene:242316
ENSMUSG00000003545,Fosb,FBJ osteosarcoma oncogene B,NCBIGene:14282
ENSMUSG00000028197,Col24a1,"collagen, type XXIV, alpha 1",NCBIGene:71355
ENSMUSG00000059325,Hopx,HOP homeobox,NCBIGene:74318
ENSMUSG00000017897,Eya2,EYA transcriptional coactivator and phosphatase 2,NCBIGene:14049
ENSMUSG00000090061,Nwd2,NACHT and WD repeat domain containing 2,NCBIGene:319807
ENSMUSG00000004655,Aqp1,aquaporin 1,NCBIGene:11826
ENSMUSG00000047591,Mafa,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)",NCBIGene:378435
ENSMUSG00000044017,Adgrd1,adhesion G protein-coupled receptor D1,NCBIGene:243277
ENSMUSG00000062209,Erbb4,erb-b2 receptor tyrosine kinase 4,NCBIGene:13869
ENSMUSG00000022705,Drd3,dopamine receptor D3,NCBIGene:13490
ENSMUSG00000033502,Cdc14a,CDC14 cell division cycle 14A,NCBIGene:229776
ENSMUSG00000029754,Dlx6,distal-less homeobox 6,NCBIGene:13396
ENSMUSG00000003379,Cd79a,CD79A antigen (immunoglobulin-associated alpha),NCBIGene:12518
ENSMUSG00000021702,Thbs4,thrombospondin 4,NCBIGene:21828
ENSMUSG00000048126,Col6a3,"collagen, type VI, alpha 3",NCBIGene:12835
ENSMUSG00000025905,Oprk1,"opioid receptor, kappa 1",NCBIGene:18387
ENSMUSG00000022025,Cnmd,chondromodulin,NCBIGene:16840
ENSMUSG00000114028,9630002D21Rik,RIKEN cDNA 9630002D21 gene,
ENSMUSG00000035431,Sstr1,somatostatin receptor 1,NCBIGene:20605
ENSMUSG00000045871,Slitrk6,"SLIT and NTRK-like family, member 6",NCBIGene:239250
ENSMUSG00000003411,Rab3b,"RAB3B, member RAS oncogene family",NCBIGene:69908
ENSMUSG00000023169,Slc38a1,"solute carrier family 38, member 1",NCBIGene:105727
ENSMUSG00000035305,Ror1,receptor tyrosine kinase-like orphan receptor 1,NCBIGene:26563
ENSMUSG00000091387,Gcnt4,"glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)",NCBIGene:218476
ENSMUSG00000020732,Rab37,"RAB37, member RAS oncogene family",NCBIGene:58222
ENSMUSG00000029335,Bmp3,bone morphogenetic protein 3,NCBIGene:110075
ENSMUSG00000012443,Kif11,kinesin family member 11,NCBIGene:16551
ENSMUSG00000022887,Masp1,mannan-binding lectin serine peptidase 1,NCBIGene:17174
ENSMUSG00000040969,Arhgef38,Rho guanine nucleotide exchange factor (GEF) 38,NCBIGene:77669
ENSMUSG00000020905,Usp43,ubiquitin specific peptidase 43,NCBIGene:216835
ENSMUSG00000031520,Vegfc,vascular endothelial growth factor C,NCBIGene:22341
ENSMUSG00000079466,Prdm12,PR domain containing 12,NCBIGene:381359
ENSMUSG00000042826,Fgf11,fibroblast growth factor 11,NCBIGene:14166
ENSMUSG00000039095,En2,engrailed 2,NCBIGene:13799
ENSMUSG00000032502,Stac,src homology three (SH3) and cysteine rich domain,NCBIGene:20840
ENSMUSG00000021676,Iqgap2,IQ motif containing GTPase activating protein 2,NCBIGene:544963
ENSMUSG00000034037,Fgd5,"FYVE, RhoGEF and PH domain containing 5",NCBIGene:232237
ENSMUSG00000024990,Rbp4,"retinol binding protein 4, plasma",NCBIGene:19662
ENSMUSG00000028864,Hgf,hepatocyte growth factor,NCBIGene:15234
ENSMUSG00000028717,Tal1,T cell acute lymphocytic leukemia 1,NCBIGene:21349
ENSMUSG00000031491,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",NCBIGene:11440
ENSMUSG00000027204,Fbn1,fibrillin 1,NCBIGene:14118
ENSMUSG00000024421,Lama3,"laminin, alpha 3",NCBIGene:16774
ENSMUSG00000059049,Frem1,Fras1 related extracellular matrix protein 1,NCBIGene:329872
ENSMUSG00000045573,Penk,preproenkephalin,NCBIGene:18619
ENSMUSG00000023484,Prph,peripherin,NCBIGene:19132
ENSMUSG00000026604,Ptpn14,"protein tyrosine phosphatase, non-receptor type 14",NCBIGene:19250
ENSMUSG00000024985,Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box",NCBIGene:21416
ENSMUSG00000048332,Lhfp,lipoma HMGIC fusion partner,NCBIGene:108927
ENSMUSG00000019787,Trdn,triadin,NCBIGene:76757
ENSMUSG00000038668,Lpar1,lysophosphatidic acid receptor 1,NCBIGene:14745
ENSMUSG00000042429,Adora1,adenosine A1 receptor,NCBIGene:11539
ENSMUSG00000062309,Rpp25,ribonuclease P/MRP 25 subunit,NCBIGene:102614
ENSMUSG00000043168,4930426D05Rik,RIKEN cDNA 4930426D05 gene,
ENSMUSG00000028339,Col15a1,"collagen, type XV, alpha 1",NCBIGene:12819
ENSMUSG00000022935,Grik1,"glutamate receptor, ionotropic, kainate 1",NCBIGene:14805
ENSMUSG00000097466,D430036J16Rik,RIKEN cDNA D430036J16 gene,NCBIGene:319405
ENSMUSG00000063727,Tnfrsf11b,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)",NCBIGene:18383
ENSMUSG00000022245,Skor1,SKI family transcriptional corepressor 1,NCBIGene:207667
ENSMUSG00000028370,Pappa,pregnancy-associated plasma protein A,NCBIGene:18491
ENSMUSG00000039385,Cdh6,cadherin 6,NCBIGene:12563
ENSMUSG00000042567,Nek10,NIMA (never in mitosis gene a)- related kinase 10,NCBIGene:674895
ENSMUSG00000047344,Lancl3,LanC lantibiotic synthetase component C-like 3 (bacterial),NCBIGene:236285
ENSMUSG00000031548,Sfrp1,secreted frizzled-related protein 1,NCBIGene:20377
ENSMUSG00000020614,Fam20a,"family with sequence similarity 20, member A",NCBIGene:208659
ENSMUSG00000024998,Plce1,"phospholipase C, epsilon 1",NCBIGene:74055
ENSMUSG00000031557,Plekha2,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2",NCBIGene:83436
ENSMUSG00000023913,Pla2g7,"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)",NCBIGene:27226
ENSMUSG00000057967,Fgf18,fibroblast growth factor 18,NCBIGene:14172
ENSMUSG00000031364,Grpr,gastrin releasing peptide receptor,NCBIGene:14829
ENSMUSG00000057719,Sh3rf2,SH3 domain containing ring finger 2,NCBIGene:269016
ENSMUSG00000035783,Acta2,"actin, alpha 2, smooth muscle, aorta",NCBIGene:11475
ENSMUSG00000045903,Npas4,neuronal PAS domain protein 4,NCBIGene:225872
ENSMUSG00000026235,Epha4,Eph receptor A4,NCBIGene:13838
ENSMUSG00000041431,Ccnb1,cyclin B1,NCBIGene:268697
ENSMUSG00000048251,Bcl11b,B cell leukemia/lymphoma 11B,NCBIGene:58208
ENSMUSG00000029822,Osbpl3,oxysterol binding protein-like 3,NCBIGene:71720
ENSMUSG00000090291,Lrrc10b,leucine rich repeat containing 10B,NCBIGene:278795
ENSMUSG00000039153,Runx2,runt related transcription factor 2,NCBIGene:12393
ENSMUSG00000049555,Tmie,transmembrane inner ear,NCBIGene:20776
ENSMUSG00000075707,Dio3,"deiodinase, iodothyronine type III",NCBIGene:107585
ENSMUSG00000022836,Mylk,"myosin, light polypeptide kinase",NCBIGene:107589
ENSMUSG00000033207,Mamdc2,MAM domain containing 2,NCBIGene:71738
ENSMUSG00000026726,Cubn,cubilin (intrinsic factor-cobalamin receptor),NCBIGene:65969
ENSMUSG00000037016,Frem2,Fras1 related extracellular matrix protein 2,NCBIGene:242022
ENSMUSG00000038650,Rnh1,ribonuclease/angiogenin inhibitor 1,NCBIGene:107702
ENSMUSG00000003476,Crhr2,corticotropin releasing hormone receptor 2,NCBIGene:12922
ENSMUSG00000096225,Lhx8,LIM homeobox protein 8,NCBIGene:16875
ENSMUSG00000041957,Pkp2,plakophilin 2,NCBIGene:67451
ENSMUSG00000038257,Glra3,"glycine receptor, alpha 3 subunit",NCBIGene:110304
ENSMUSG00000024043,Arhgap28,Rho GTPase activating protein 28,NCBIGene:268970
ENSMUSG00000021200,Asb2,ankyrin repeat and SOCS box-containing 2,NCBIGene:65256
ENSMUSG00000025128,Bhlhe22,"basic helix-loop-helix family, member e22",NCBIGene:59058
ENSMUSG00000030525,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7",NCBIGene:11441
ENSMUSG00000029595,Lhx5,LIM homeobox protein 5,NCBIGene:16873
ENSMUSG00000027230,Creb3l1,cAMP responsive element binding protein 3-like 1,NCBIGene:26427
ENSMUSG00000037610,Kcnmb2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2",NCBIGene:72413
ENSMUSG00000062372,Otof,otoferlin,NCBIGene:83762
ENSMUSG00000072568,Lratd2,LRAT domain containing 1,NCBIGene:399603
ENSMUSG00000028743,Akr7a5,"aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)",NCBIGene:110198
ENSMUSG00000020122,Egfr,epidermal growth factor receptor,NCBIGene:13649
ENSMUSG00000032845,Alpk2,alpha-kinase 2,NCBIGene:225638
ENSMUSG00000020734,Grin2c,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)",NCBIGene:14813
ENSMUSG00000001911,Nfix,nuclear factor I/X,NCBIGene:18032
ENSMUSG00000014813,Stc1,stanniocalcin 1,NCBIGene:20855
ENSMUSG00000067001,Serpinb7,"serine (or cysteine) peptidase inhibitor, clade B, member 7",NCBIGene:116872
ENSMUSG00000021239,Vsx2,visual system homeobox 2,NCBIGene:12677
ENSMUSG00000042761,Mrap2,melanocortin 2 receptor accessory protein 2,NCBIGene:244958
ENSMUSG00000043456,Zfp536,zinc finger protein 536,NCBIGene:243937
ENSMUSG00000055322,Tns1,tensin 1,NCBIGene:21961
ENSMUSG00000034687,Fras1,Fraser extracellular matrix complex subunit 1,NCBIGene:231470
ENSMUSG00000026247,Ecel1,endothelin converting enzyme-like 1,NCBIGene:13599
ENSMUSG00000063681,Crb1,"crumbs family member 1, photoreceptor morphogenesis associated",NCBIGene:170788
ENSMUSG00000030595,Nfkbib,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta",NCBIGene:18036
ENSMUSG00000001773,Folh1,folate hydrolase 1,NCBIGene:53320
ENSMUSG00000049538,Adamts16,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16",NCBIGene:271127
ENSMUSG00000026315,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",NCBIGene:20725
ENSMUSG00000027270,Lamp5,"lysosomal-associated membrane protein family, member 5",NCBIGene:76161
ENSMUSG00000021765,Fst,follistatin,NCBIGene:14313
ENSMUSG00000110027,C030029H02Rik,RIKEN cDNA C030029H02 gene,NCBIGene:77383
ENSMUSG00000026023,Cdk15,cyclin-dependent kinase 15,NCBIGene:271697
ENSMUSG00000069171,Nr2f1,"nuclear receptor subfamily 2, group F, member 1",NCBIGene:13865
ENSMUSG00000038679,Trps1,transcriptional repressor GATA binding 1,NCBIGene:83925
ENSMUSG00000049115,Agtr1a,"angiotensin II receptor, type 1a",NCBIGene:11607
ENSMUSG00000033774,Npbwr1,neuropeptides B/W receptor 1,NCBIGene:226304
ENSMUSG00000049630,C1ql3,C1q-like 3,NCBIGene:227580
ENSMUSG00000027966,Col11a1,"collagen, type XI, alpha 1",NCBIGene:12814
ENSMUSG00000030074,Gxylt2,glucoside xylosyltransferase 2,NCBIGene:232313
ENSMUSG00000029810,Tmem176b,transmembrane protein 176B,NCBIGene:65963
ENSMUSG00000048218,Amigo2,adhesion molecule with Ig like domain 2,NCBIGene:105827
ENSMUSG00000096014,Sox1,SRY (sex determining region Y)-box 1,NCBIGene:20664
ENSMUSG00000051747,Ttn,titin,NCBIGene:22138
ENSMUSG00000055044,Pdlim1,PDZ and LIM domain 1 (elfin),NCBIGene:54132
ENSMUSG00000025089,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,NCBIGene:14585
ENSMUSG00000055866,Per2,period circadian clock 2,NCBIGene:18627
ENSMUSG00000053475,Tnfaip6,tumor necrosis factor alpha induced protein 6,NCBIGene:21930
ENSMUSG00000029135,Fosl2,fos-like antigen 2,NCBIGene:14284
ENSMUSG00000074971,Fibin,fin bud initiation factor homolog (zebrafish),NCBIGene:67606
ENSMUSG00000037279,Ovol2,ovo like zinc finger 2,NCBIGene:107586
ENSMUSG00000021721,Htr1a,5-hydroxytryptamine (serotonin) receptor 1A,NCBIGene:15550
ENSMUSG00000018634,Crhr1,corticotropin releasing hormone receptor 1,NCBIGene:12921
ENSMUSG00000021803,Cdhr1,cadherin-related family member 1,NCBIGene:170677
ENSMUSG00000042258,Isl1,"ISL1 transcription factor, LIM/homeodomain",NCBIGene:16392
ENSMUSG00000075324,Fign,fidgetin,NCBIGene:60344
ENSMUSG00000038156,Spon1,"spondin 1, (f-spondin) extracellular matrix protein",NCBIGene:233744
ENSMUSG00000021835,Bmp4,bone morphogenetic protein 4,NCBIGene:12159
ENSMUSG00000064254,Ethe1,ethylmalonic encephalopathy 1,NCBIGene:66071
ENSMUSG00000061524,Zic2,zinc finger protein of the cerebellum 2,NCBIGene:22772
ENSMUSG00000025885,Myo5b,myosin VB,NCBIGene:17919
ENSMUSG00000114469,C730002L08Rik,RIKEN cDNA C730002L08 gene,NCBIGene:320155
ENSMUSG00000038692,Hoxb4,homeobox B4,NCBIGene:15412
ENSMUSG00000021541,Trpc7,"transient receptor potential cation channel, subfamily C, member 7",NCBIGene:26946
ENSMUSG00000034981,Parm1,prostate androgen-regulated mucin-like protein 1,NCBIGene:231440
ENSMUSG00000050063,Klk6,kallikrein related-peptidase 6,NCBIGene:19144
ENSMUSG00000042607,Asb4,ankyrin repeat and SOCS box-containing 4,NCBIGene:65255
ENSMUSG00000045005,Fzd5,frizzled class receptor 5,NCBIGene:14367
ENSMUSG00000027400,Pdyn,prodynorphin,NCBIGene:18610
ENSMUSG00000023945,Slc5a7,"solute carrier family 5 (choline transporter), member 7",NCBIGene:63993
ENSMUSG00000109473,B930025P03Rik,RIKEN cDNA B930025P03 gene,NCBIGene:320014
ENSMUSG00000026805,Barhl1,BarH like homeobox 1,NCBIGene:54422
ENSMUSG00000036109,Mbnl3,muscleblind like splicing factor 3,NCBIGene:171170
ENSMUSG00000060594,Layn,layilin,NCBIGene:244864
ENSMUSG00000030562,Nox4,NADPH oxidase 4,NCBIGene:50490
ENSMUSG00000024713,Pcsk5,proprotein convertase subtilisin/kexin type 5,NCBIGene:18552
ENSMUSG00000034903,Cobll1,Cobl-like 1,NCBIGene:319876
ENSMUSG00000040828,Catsperd,cation channel sperm associated auxiliary subunit delta,NCBIGene:106757
ENSMUSG00000028487,Bnc2,basonuclin 2,NCBIGene:242509
ENSMUSG00000045027,Prss22,"protease, serine 22",NCBIGene:70835
ENSMUSG00000021318,Gli3,GLI-Kruppel family member GLI3,NCBIGene:14634
ENSMUSG00000053897,Slc39a8,"solute carrier family 39 (metal ion transporter), member 8",NCBIGene:67547
ENSMUSG00000007279,Scube2,"signal peptide, CUB domain, EGF-like 2",NCBIGene:56788
ENSMUSG00000090698,Apold1,apolipoprotein L domain containing 1,NCBIGene:381823
